year,fomc_date,doc_type,word_count,hawk_hits,dove_hits,hawk_net,hawk_score_norm,hawk_ratio,tone_word_count,tfidf_cos_prev,tfidf_pc1,tfidf_pc2,hawk_score_delta,hawk_ratio_delta,finbert_positive,finbert_negative,finbert_neutral,finbert_net,hawk_composite
2007,2007-09-18,statement,223,2,0,2,0.8968609865470852,1.0,2,0.2997856685911103,0.3024438256315536,0.5135264032301298,2.4120125016986003,1.0,0.4168061912059784,0.2915969043970108,0.2915969043970108,0.1252092868089676,0.7813023217022419
2007,2007-10-31,statement,254,3,2,1,0.3937007874015747,0.6,5,0.7175551653039447,0.3496873138391584,0.5427485569463472,-0.5031601991455105,-0.4,0.2559855431318283,0.4880289137363434,0.2559855431318283,-0.232043370604515,0.4919891573488712
2007,2007-12-11,statement,225,2,2,0,0.0,0.5,4,0.8333744301780316,0.3408511212326976,0.54209260359685,-0.3937007874015747,-0.0999999999999999,0.0977689921855926,0.8044620156288147,0.0977689921855926,-0.706693023443222,0.3233267441391945
2008,2008-01-22,statement,195,0,3,-3,-2.564102564102564,0.0,3,0.5262733391747242,0.3145858320398165,0.4210557469878211,-2.564102564102564,-0.5,0.0941724479198455,0.8116551041603088,0.0941724479198455,-0.7174826562404633,0.0706293359398841
2008,2008-01-30,statement,200,0,3,-3,-1.5,0.0,3,0.751433479546097,0.2891499722322644,0.5267255023387812,1.064102564102564,0.0,0.3153696209192276,0.3153696209192276,0.3692607581615448,0.0,0.25
2008,2008-03-11,statement,435,0,0,0,0.0,0.0,0,0.096347744162497,0.1486512336765288,0.0865167223467719,1.5,0.0,0.3840184062719345,0.085666075348854,0.5303155183792114,0.2983523309230804,0.3245880827307701
2008,2008-03-18,statement,244,2,3,-1,-0.4098360655737705,0.4,5,0.1052108937671365,0.3615447201725889,0.5005572646775643,-0.4098360655737705,0.4,0.0991149842739105,0.801770031452179,0.0991149842739105,-0.7026550471782684,0.2743362382054329
2008,2008-04-30,statement,253,0,1,-1,-0.7905138339920948,0.0,1,0.8136205434213407,0.3635323078823083,0.5017032934256442,-0.3806777684183243,-0.4,0.1580803990364074,0.6838392019271851,0.1580803990364074,-0.5257588028907776,0.1185602992773056
2008,2008-06-25,statement,198,3,3,0,0.0,0.5,6,0.568959335462747,0.3968808517634748,0.2811408333716491,0.7905138339920948,0.5,0.7610123157501221,0.1194938421249389,0.1194938421249389,0.6415184736251831,0.6603796184062958
2008,2008-08-05,statement,190,3,3,0,0.5263157894736842,0.5,6,0.8401066352924511,0.3891211348354609,0.2708313277198833,0.5263157894736842,0.0,0.9219149351119996,0.0390425324440002,0.0390425324440002,0.8828724026679993,0.7207181006669998
2008,2008-09-16,statement,181,2,5,-3,-1.6574585635359116,0.2857142857142857,7,0.8596547455900088,0.3557954032310784,0.2771027398942435,-2.183774353009596,-0.2142857142857143,0.1527238488197326,0.6945523023605347,0.1527238488197326,-0.541828453540802,0.2574000294719423
2008,2008-10-08,statement,413,3,3,0,0.7263922518159807,0.5,6,0.1875503203558908,0.2019272837962032,0.2467809048364964,2.3838508153518925,0.2142857142857143,0.0583758354187011,0.4312045276165008,0.510419636964798,-0.3728286921977997,0.4067928269505501
2008,2008-10-29,statement,254,0,4,-4,-1.574803149606299,0.0,4,0.4498625768792234,0.3272895753959614,0.4733189929804908,-2.30119540142228,-0.5,0.0305620729923248,0.9388758540153505,0.0305620729923248,-0.9083137810230256,0.0229215547442436
2008,2008-12-16,statement,177,1,0,1,0.5649717514124294,1.0,1,0.3731341232707526,0.3726232764555461,0.1636937342234733,2.1397749010187286,1.0,0.0319781303405761,0.9360437393188475,0.0319781303405761,-0.9040656089782716,0.5239835977554321
2009,2009-01-28,statement,251,0,6,-6,-2.3904382470119523,0.0,6,0.5936372751177312,0.4168976679099662,0.174771774328484,-2.955409998424382,-1.0,0.0588307678699493,0.8823384642601013,0.0588307678699493,-0.823507696390152,0.044123075902462
2009,2009-03-18,statement,386,0,3,-3,-0.7772020725388601,0.0,3,0.4775061246934138,0.4229265146076479,0.1086807429673478,1.613236174473092,0.0,0.6082507967948914,0.1958746016025543,0.1958746016025543,0.412376195192337,0.3530940487980842
2009,2009-04-29,statement,392,0,4,-4,-1.020408163265306,0.0,4,0.7611024181978774,0.4283477396753267,0.1404920574954371,-0.243206090726446,0.0,0.4743445515632629,0.2628277242183685,0.2628277242183685,0.2115168273448944,0.3028792068362236
2009,2009-06-24,statement,345,0,3,-3,-0.8695652173913043,0.0,3,0.8224747884576059,0.3815978188847362,0.134054550053874,0.1508429458740018,0.0,0.523063063621521,0.2384684681892395,0.2384684681892395,0.2845945954322815,0.3211486488580704
2009,2009-08-12,statement,387,0,2,-2,-0.516795865633075,0.0,2,0.9442569087591784,0.3951013478360776,0.1318285755058219,0.3527693517582293,0.0,0.2695224583148956,0.2695224583148956,0.4609550833702087,0.0,0.25
2009,2009-09-23,statement,392,0,2,-2,-0.5102040816326531,0.0,2,0.8841035407799476,0.4057817907932183,0.1195665433763167,0.0065917840004219,0.0,0.2536936849355697,0.2536936849355697,0.4926126301288605,0.0,0.25
2009,2009-11-04,statement,430,0,3,-3,-0.6976744186046512,0.0,3,0.9074133781084788,0.4329228704395975,0.1103435993724646,-0.1874703369719981,0.0,0.4238489717245102,0.0634921044111251,0.5126589238643646,0.360356867313385,0.3400892168283462
2009,2009-12-16,statement,535,0,4,-4,-0.7476635514018692,0.0,4,0.6906928313950388,0.3893004037439233,0.1328427828348244,-0.049989132797218,0.0,0.4068578034639358,0.1462471038103103,0.4468950927257538,0.2606106996536255,0.3151526749134063
2010,2010-01-27,statement,480,0,4,-4,-0.8333333333333334,0.0,4,0.8486746739806387,0.3762340052639307,0.1253371147844375,-0.0856697819314641,0.0,0.283828392624855,0.1791784018278122,0.5369932055473328,0.1046499907970428,0.2761624976992607
2010,2010-03-16,statement,361,0,3,-3,-0.8310249307479225,0.0,3,0.8010581612968495,0.4008405117130912,0.1245666058520398,0.0023084025854108,0.0,0.1303143799304962,0.7393712401390076,0.1303143799304962,-0.6090568602085114,0.0977357849478721
2010,2010-04-28,statement,314,0,3,-3,-0.9554140127388536,0.0,3,0.898658414777036,0.3849169052917705,0.130096517593025,-0.124389081990931,0.0,0.0311442911624908,0.9377114176750184,0.0311442911624908,-0.9065671265125276,0.0233582183718681
2010,2010-05-09,statement,312,0,0,0,0.0,0.0,0,0.0826281310357274,0.0506166177886087,0.0602995066671065,0.9554140127388536,0.0,0.0367811918258667,0.0367811918258667,0.9264376163482666,0.0,0.25
2010,2010-06-23,statement,265,0,3,-3,-1.1320754716981132,0.0,3,0.0560821981957964,0.3834391995408192,0.1461820232999887,-1.1320754716981132,0.0,0.1351291239261627,0.7297417521476746,0.1351291239261627,-0.5946126282215118,0.101346842944622
2010,2010-08-10,statement,428,0,3,-3,-0.7009345794392523,0.0,3,0.8027867125842876,0.4579215630598785,0.108043811469222,0.4311408922588609,0.0,0.1740182340145111,0.1740182340145111,0.6519635319709778,0.0,0.25
2010,2010-09-21,statement,399,0,4,-4,-1.0025062656641603,0.0,4,0.8169107920041541,0.4362896273274344,0.0970553912651811,-0.301571686224908,0.0,0.1217602789402008,0.7564794421195984,0.1217602789402008,-0.6347191631793976,0.0913202092051506
