fomc_date,yield_2y_pre,yield_2y_chg1d,yield_2y_dir1d,yield_2y_chg3d,yield_2y_dir3d,yield_2y_chg5d,yield_2y_dir5d,yield_10y_pre,yield_10y_chg1d,yield_10y_dir1d,yield_10y_chg3d,yield_10y_dir3d,yield_10y_chg5d,yield_10y_dir5d,spread_2s10s_pre,spread_2s10s_chg1d,spread_2s10s_dir1d,spread_2s10s_chg3d,spread_2s10s_dir3d,spread_2s10s_chg5d,spread_2s10s_dir5d,fed_funds_rate,cpi_yoy,unemployment
2012-08-01,0.23,0.009999999999999981,1,0.009999999999999981,1,0.05999999999999997,1,1.51,0.0,0,0.08000000000000007,1,0.16999999999999993,1,1.28,-0.010000000000000009,0,0.07000000000000006,1,0.10999999999999988,1,0.14,1.210112295251542,8.1
2012-09-13,0.25,0.020000000000000018,1,0.0,0,0.020000000000000018,1,1.77,0.10999999999999988,1,0.050000000000000044,1,0.030000000000000027,1,1.52,0.09000000000000008,1,0.050000000000000044,1,0.010000000000000009,1,0.15,1.3926317360275942,7.8
2012-10-24,0.29,0.020000000000000018,1,0.010000000000000009,1,0.010000000000000009,1,1.79,0.07000000000000006,1,-0.050000000000000044,0,-0.07000000000000006,0,1.5,0.050000000000000044,1,-0.06000000000000005,0,-0.08000000000000007,0,0.17,1.4492245838242157,7.8
2012-12-12,0.24,0.030000000000000027,1,0.010000000000000009,1,0.040000000000000036,1,1.66,0.08000000000000007,1,0.1200000000000001,1,0.16000000000000014,1,1.42,0.050000000000000044,1,0.1100000000000001,1,0.1200000000000001,1,0.17,0.887484892249546,7.9
2013-01-30,0.3,-0.02999999999999997,0,-0.04999999999999999,0,-0.02999999999999997,0,2.03,-0.009999999999999787,0,-0.029999999999999805,0,-0.029999999999999805,0,1.7299999999999998,0.02000000000000024,1,0.02000000000000024,1,2.220446049250313e-16,1,0.12,1.296821781009383,8.0
2013-03-20,0.24,0.030000000000000027,1,0.0,0,0.010000000000000009,1,1.92,0.030000000000000027,1,0.010000000000000009,1,-0.04999999999999982,0,1.68,0.0,0,0.010000000000000009,1,-0.05999999999999983,0,0.15,1.6151187715998103,7.5
2013-05-01,0.22,-0.01999999999999999,0,0.0,0,0.0,0,1.7,-0.040000000000000036,0,0.10000000000000009,1,0.1100000000000001,1,1.48,-0.020000000000000018,0,0.10000000000000009,1,0.1100000000000001,1,0.14,0.8590019050270126,7.5
2013-06-19,0.27,0.06,1,0.14999999999999997,1,0.12,1,2.2,0.20999999999999996,1,0.36999999999999966,1,0.34999999999999964,1,1.93,0.15000000000000013,1,0.21999999999999997,1,0.2300000000000002,1,0.1,0.3483884336766829,7.5
2013-07-31,0.33,0.019999999999999962,1,-0.010000000000000009,0,-0.010000000000000009,0,2.63,0.11000000000000032,1,0.040000000000000036,1,-0.020000000000000018,0,2.3,0.0900000000000003,1,0.050000000000000266,1,-0.009999999999999787,0,0.09,0.7139490332931153,7.3
2013-09-18,0.39,-0.04999999999999999,0,-0.040000000000000036,0,-0.030000000000000027,0,2.86,-0.10000000000000009,0,-0.13999999999999968,0,-0.22999999999999998,0,2.47,-0.050000000000000266,0,-0.10000000000000009,0,-0.20000000000000018,0,0.08,0.8049931154744394,7.2
