year,fomc_date,doc_type,word_count,hawk_hits,dove_hits,hawk_net,hawk_score_norm,hawk_ratio,tone_word_count,tfidf_cos_prev,tfidf_pc1,tfidf_pc2,hawk_score_delta,hawk_ratio_delta
2011,2011-09-21,statement,547,1,3,-2,-0.3656307129798903,0.25,4,0.6986557282186838,0.5349315705642257,0.0300246994430844,0.0367837739416389,0.25
2011,2011-11-02,statement,443,1,2,-1,-0.2257336343115124,0.3333333333333333,3,0.8272845089719307,0.5545496592341359,0.0467238196086479,0.1398970786683779,0.0833333333333333
2011,2011-12-13,statement,387,1,3,-2,-0.516795865633075,0.25,4,0.8906810399527751,0.5510249553257762,0.0163198848150969,-0.2910622313215626,-0.0833333333333333
2012,2012-01-25,statement,358,1,4,-3,-0.8379888268156425,0.2,5,0.8805529269870395,0.5497892982200607,0.0208997751040655,-0.3211929611825674,-0.0499999999999999
2012,2012-03-13,statement,373,1,3,-2,-0.5361930294906166,0.25,4,0.9025507093815756,0.5481258186823795,0.0134568021360942,0.3017957973250258,0.0499999999999999
2012,2012-04-25,statement,382,1,3,-2,-0.5235602094240838,0.25,4,0.9465187245522444,0.544225040617531,0.0222050545849589,0.0126328200665328,0.0
2012,2012-06-20,statement,454,1,3,-2,-0.6607929515418502,0.25,4,0.7932889751433787,0.5308112152384343,0.0212556551683583,-0.1372327421177664,0.0
2012,2012-08-01,statement,390,1,4,-3,-0.7692307692307693,0.2,5,0.8442058427713153,0.5523717475276255,0.0312111837232903,-0.108437817688919,-0.0499999999999999
2012,2012-09-13,statement,491,1,4,-3,-1.0183299389002036,0.2,5,0.6205021250843243,0.5903928354267812,-0.0283699872792061,-0.2490991696694343,0.0
2012,2012-10-24,statement,468,1,4,-3,-0.8547008547008548,0.2,5,0.9571514076328732,0.5955113602661624,-0.0349646093694633,0.1636290841993488,0.0
2012,2012-12-12,statement,620,1,4,-3,-0.967741935483871,0.2,5,0.8218926508877127,0.6453327295658746,-0.0853085627151424,-0.1130410807830162,0.0
2013,2013-01-30,statement,574,1,4,-3,-1.0452961672473868,0.2,5,0.9062716822651448,0.6488741625889085,-0.0778707710735631,-0.0775542317635158,0.0
2013,2013-03-20,statement,572,2,5,-3,-1.048951048951049,0.2857142857142857,7,0.939428227416356,0.6618527545191188,-0.080541932731052,-0.0036548817036621,0.0857142857142856
2013,2013-05-01,statement,598,1,4,-3,-1.1705685618729096,0.2,5,0.9677706316129904,0.6676300417323996,-0.0807385526562957,-0.1216175129218606,-0.0857142857142856
2013,2013-06-19,statement,602,1,4,-3,-1.162790697674419,0.2,5,0.9741647524813568,0.6633448707578179,-0.0821000732172204,0.0077778641984909,0.0
2013,2013-07-31,statement,629,1,4,-3,-1.1128775834658189,0.2,5,0.9567100413439,0.6600832735521974,-0.0808786959354308,0.0499131142086,0.0
2013,2013-09-18,statement,733,2,4,-2,-0.6821282401091405,0.3333333333333333,6,0.9005799627890879,0.6690401854061286,-0.0784112346072261,0.4307493433566781,0.1333333333333333
2013,2013-10-30,statement,711,1,4,-3,-0.8438818565400843,0.2,5,0.9765141739005134,0.6677936143514006,-0.0768057725396938,-0.1617536164309437,-0.1333333333333333
2013,2013-12-18,statement,801,1,2,-1,-0.4993757802746567,0.3333333333333333,3,0.8819485252764052,0.6629205100326374,-0.1054725853833863,0.3445060762654276,0.1333333333333333
2014,2014-01-29,statement,812,1,2,-1,-0.4926108374384236,0.3333333333333333,3,0.9718972403180602,0.6699388067965832,-0.1027995299761905,0.006764942836233,0.0
2014,2014-03-19,statement,862,1,2,-1,-0.3480278422273781,0.3333333333333333,3,0.8995452753497502,0.6936670795170631,-0.1089366952300662,0.1445829952110455,0.0
2014,2014-04-30,statement,794,1,2,-1,-0.3778337531486146,0.3333333333333333,3,0.9795035627487292,0.6814234922623488,-0.1104267113955121,-0.0298059109212364,0.0
2014,2014-06-18,statement,779,1,2,-1,-0.3851091142490372,0.3333333333333333,3,0.986944368224261,0.6809803529923768,-0.1128904952429836,-0.0072753611004226,0.0
2014,2014-07-30,statement,774,0,3,-3,-0.6459948320413437,0.0,3,0.9534327491490328,0.6703176838153616,-0.1216046791279598,-0.2608857177923064,-0.3333333333333333
2014,2014-09-17,statement,768,0,3,-3,-0.6510416666666667,0.0,3,0.974449419265483,0.6778892393476506,-0.12405398023309,-0.005046834625323,0.0
2014,2014-10-29,statement,631,0,3,-3,-0.6339144215530903,0.0,3,0.7935646638651935,0.6853709748337036,-0.1374539384739199,0.0171272451135764,0.0
2014,2014-12-17,statement,713,0,6,-6,-1.1220196353436185,0.0,6,0.8448289710812008,0.6932578234270338,-0.1117536386420004,-0.4881052137905282,0.0
2015,2015-01-28,statement,539,0,4,-4,-0.927643784786642,0.0,4,0.8466758287763276,0.6728257102686196,-0.1274172325665969,0.1943758505569764,0.0
2015,2015-03-18,statement,554,0,3,-3,-0.7220216606498195,0.0,3,0.8914706058454483,0.6948827312344902,-0.1214583942847376,0.2056221241368224,0.0
2015,2015-04-29,statement,530,0,3,-3,-0.7547169811320755,0.0,3,0.8945674202272168,0.6671110850821561,-0.1177071838999545,-0.0326953204822559,0.0
2015,2015-06-17,statement,515,0,3,-3,-0.7766990291262136,0.0,3,0.9453937516533232,0.6783347576350898,-0.1336452539046909,-0.021982047994138,0.0
2015,2015-07-29,statement,509,0,3,-3,-0.7858546168958742,0.0,3,0.9698451537478298,0.678516751309867,-0.1350760359805357,-0.0091555877696606,0.0
2015,2015-09-17,statement,534,0,3,-3,-0.7490636704119851,0.0,3,0.9430650163518908,0.6853736035009144,-0.1297147022380441,0.0367909464838891,0.0
2015,2015-10-28,statement,525,0,3,-3,-0.7619047619047619,0.0,3,0.9672944254734492,0.6819313510505695,-0.1285721704948756,-0.0128410914927767,0.0
2015,2015-12-16,statement,568,0,3,-3,-0.8802816901408451,0.0,3,0.6885592081521128,0.7093038830226756,-0.1200766915258238,-0.1183769282360832,0.0
2016,2016-01-27,statement,535,0,3,-3,-0.9345794392523364,0.0,3,0.8848116618003957,0.6987705476190026,-0.1371746405107856,-0.0542977491114912,0.0
2016,2016-03-16,statement,523,0,2,-2,-0.7648183556405354,0.0,2,0.9180010643006984,0.6956525661129351,-0.1319185237906266,0.1697610836118009,0.0
2016,2016-04-27,statement,528,0,2,-2,-0.7575757575757576,0.0,2,0.9255303967556424,0.6957951105919337,-0.1314448754000111,0.0072425980647777,0.0
2016,2016-06-15,statement,517,0,2,-2,-0.7736943907156674,0.0,2,0.951266722154573,0.6884044662321613,-0.1331579287643496,-0.0161186331399098,0.0
2016,2016-07-27,statement,517,0,2,-2,-0.7736943907156674,0.0,2,0.9343148397205884,0.6897518922615268,-0.1348159069666734,0.0,0.0
2016,2016-09-21,statement,552,0,2,-2,-0.7246376811594203,0.0,2,0.928032993550722,0.6998583784003505,-0.1374294585933999,0.049056709556247,0.0
2016,2016-11-02,statement,546,0,2,-2,-0.7326007326007326,0.0,2,0.9622836468158568,0.7044030645865712,-0.137941519831938,-0.0079630514413122,0.0
2016,2016-12-14,statement,512,0,2,-2,-0.78125,0.0,2,0.9433884532466004,0.7016685775401896,-0.1500469381483533,-0.0486492673992674,0.0
2017,2017-02-01,statement,476,0,2,-2,-0.8403361344537815,0.0,2,0.8708462252883042,0.7023889207101973,-0.1574392232350016,-0.0590861344537815,0.0
2017,2017-03-15,statement,477,0,2,-2,-0.8385744234800839,0.0,2,0.9068078275448552,0.7001781406303155,-0.1552808463216607,0.0017617109736975,0.0
2017,2017-05-03,statement,497,0,3,-3,-1.0060362173038229,0.0,3,0.9162480319532954,0.7140679434543803,-0.148289639638402,-0.1674617938237389,0.0
2017,2017-06-14,statement,510,0,2,-2,-0.5882352941176471,0.0,2,0.838178820808749,0.6851388416291257,-0.1510215044392295,0.4178009231861758,0.0
2017,2017-07-26,statement,486,0,2,-2,-0.6172839506172839,0.0,2,0.9533618180575428,0.6820452040879782,-0.15595415566311,-0.0290486564996368,0.0
2017,2017-09-20,statement,514,0,2,-2,-0.5836575875486382,0.0,2,0.8929270833262426,0.6542220356495434,-0.1246557165881112,0.0336263630686457,0.0
2017,2017-11-01,statement,491,0,2,-2,-0.6109979633401221,0.0,2,0.9476455905420236,0.6445187357578954,-0.1271627505635175,-0.0273403757914839,0.0
2017,2017-12-13,statement,442,0,2,-2,-0.6787330316742082,0.0,2,0.922600343800085,0.6613758205716525,-0.131008432495549,-0.067735068334086,0.0
2018,2018-01-31,statement,397,0,2,-2,-0.7556675062972292,0.0,2,0.9124101596338732,0.65906105849412,-0.1436181084174398,-0.076934474623021,0.0
2018,2018-03-21,statement,426,0,2,-2,-0.7042253521126761,0.0,2,0.9330926280852672,0.6533027543938226,-0.1329987510961174,0.0514421541845531,0.0
2018,2018-05-02,statement,400,0,2,-2,-0.75,0.0,2,0.9263768783931012,0.6516155068440891,-0.1472217965183108,-0.0457746478873238,0.0
2018,2018-06-13,statement,300,0,2,-2,-0.6666666666666667,0.0,2,0.7769589516000077,0.615421812134461,-0.1517735050618796,0.0833333333333332,0.0
2018,2018-08-01,statement,288,0,2,-2,-0.6944444444444444,0.0,2,0.9299520065488514,0.6076100740942997,-0.157571848463126,-0.0277777777777776,0.0
2018,2018-09-26,statement,267,0,1,-1,-0.3745318352059925,0.0,1,0.945975081437764,0.6018973451480384,-0.1560360061094302,0.3199126092384519,0.0
2018,2018-11-08,statement,280,0,1,-1,-0.3571428571428571,0.0,1,0.9315232865588854,0.6027660709591399,-0.1537765069633678,0.0173889780631353,0.0
2018,2018-12-19,statement,304,0,1,-1,-0.3289473684210526,0.0,1,0.9267506645002452,0.616835145449123,-0.1455942419679278,0.0281954887218045,0.0
2019,2019-01-30,statement,302,0,1,-1,-0.3311258278145695,0.0,1,0.7997603996726078,0.6015470184339166,-0.1486739317453061,-0.0021784593935169,0.0
2019,2019-03-20,statement,318,0,1,-1,-0.3144654088050315,0.0,1,0.8597071987230521,0.5982676826567035,-0.1344859396521828,0.016660419009538,0.0
2019,2019-05-01,statement,294,0,1,-1,-0.3401360544217687,0.0,1,0.9465970169602188,0.6009700015029262,-0.1509124096509813,-0.0256706456167372,0.0
2019,2019-06-19,statement,371,0,0,0,0.0,0.0,0,0.7863504025512671,0.5987357561976441,-0.1339544061886484,0.3401360544217687,0.0
2019,2019-07-31,statement,418,0,0,0,0.0,0.0,0,0.9095874576968184,0.6135748998890791,-0.1435663519807468,0.0,0.0
2019,2019-09-18,statement,403,0,0,0,0.0,0.0,0,0.9388610286743352,0.5953907804635338,-0.1528321325534557,0.0,0.0
2019,2019-10-11,statement,345,0,0,0,0.0,0.0,0,0.1388714047497569,0.2656839526928726,0.0781349048890146,0.0,0.0
2019,2019-10-30,statement,363,0,0,0,0.0,0.0,0,0.1590696047483571,0.6037182408414468,-0.158430877453183,0.0,0.0
2019,2019-12-11,statement,326,0,0,0,0.0,0.0,0,0.904604045007308,0.6188056684591147,-0.1777825111323547,0.0,0.0
2020,2020-01-29,statement,326,0,0,0,0.0,0.0,0,0.8950438979162991,0.610030563823233,-0.1726861532278192,0.0,0.0
2020,2020-03-03,statement,144,0,0,0,0.0,0.0,0,0.4396096313048086,0.2977055959150981,-0.0531529726919495,0.0,0.0
2020,2020-03-15,statement,682,0,1,-1,-0.1466275659824047,0.0,1,0.4292638575860695,0.6393706810687296,-0.1246683500933428,-0.1466275659824047,0.0
2020,2020-03-23,statement,293,0,0,0,0.0,0.0,0,0.5949698958109324,0.3849227373363057,-0.0207255235232639,0.1466275659824047,0.0
2020,2020-04-29,statement,437,0,0,0,0.0,0.0,0,0.5755896370280559,0.5161895429939315,-0.1378718527916256,0.0,0.0
2020,2020-06-10,statement,440,0,0,0,0.0,0.0,0,0.9583817862988516,0.5150105017121499,-0.1398863708729097,0.0,0.0
2020,2020-07-29,statement,461,0,0,0,0.0,0.0,0,0.9477412005992129,0.5210421651657021,-0.1392295165436601,0.0,0.0
2020,2020-09-16,statement,562,0,1,-1,-0.3558718861209964,0.0,1,0.7276285722959366,0.5634863398680754,-0.1431290737674696,-0.3558718861209964,0.0
2020,2020-11-05,statement,479,0,1,-1,-0.6263048016701461,0.0,1,0.9142951717632348,0.5470322292109154,-0.1638226395546186,-0.2704329155491497,0.0
2020,2020-12-16,statement,493,0,1,-1,-0.6085192697768762,0.0,1,0.9379759048620894,0.5532519338187617,-0.1685951014018005,0.0177855318932699,0.0
2021,2021-01-27,statement,500,0,1,-1,-0.6,0.0,1,0.9040851042121464,0.5347881161569297,-0.1677340960561393,0.0085192697768762,0.0
2021,2021-03-17,statement,495,0,1,-1,-0.6060606060606061,0.0,1,0.965057867857406,0.5322320712617546,-0.1691753995329999,-0.0060606060606061,0.0
2021,2021-04-28,statement,491,0,1,-1,-0.6109979633401221,0.0,1,0.9502226357110362,0.5199085656772564,-0.1662446047836932,-0.004937357279516,0.0
2021,2021-06-16,statement,489,0,1,-1,-0.6134969325153374,0.0,1,0.9675385550062232,0.5214193439584098,-0.163364718166589,-0.0024989691752153,0.0
2021,2021-07-28,statement,503,0,1,-1,-0.5964214711729622,0.0,1,0.958315364407926,0.5290378834718151,-0.1682523288219737,0.0170754613423752,0.0
2021,2021-09-22,statement,521,1,1,0,-0.3838771593090211,0.5,2,0.96525552047001,0.5368514517668617,-0.1633336195925303,0.212544311863941,0.5
2021,2021-11-03,statement,629,1,2,-1,-0.4769475357710651,0.3333333333333333,3,0.8849373293644696,0.5650534664804084,-0.1557318608249928,-0.093070376462044,-0.1666666666666666
2021,2021-12-15,statement,536,1,2,-1,-0.3731343283582089,0.3333333333333333,3,0.8769075162540532,0.5612032123575103,-0.1565315652963245,0.1038132074128562,0.0
2022,2022-01-26,statement,445,1,2,-1,-0.449438202247191,0.3333333333333333,3,0.8081421396806638,0.5371520733270374,-0.1449761871834834,-0.0763038738889821,0.0
2022,2022-03-16,statement,363,3,0,3,0.8264462809917356,1.0,3,0.6184333173131228,0.5445867828688857,-0.1427401849867296,1.275884483238927,0.6666666666666667
2022,2022-05-04,statement,381,5,0,5,1.3123359580052494,1.0,5,0.871047328397545,0.5344692802736308,-0.1370158694220402,0.4858896770135138,0.0
2022,2022-06-15,statement,383,5,0,5,1.3054830287206265,1.0,5,0.8806624341139024,0.5248357076346842,-0.138246429125123,-0.0068529292846228,0.0
2022,2022-07-27,statement,328,5,0,5,1.524390243902439,1.0,5,0.8689536225040797,0.5201597922313914,-0.1568595670613198,0.2189072151818125,0.0
2022,2022-09-21,statement,329,5,0,5,1.5197568389057752,1.0,5,0.9821910565469776,0.5223058523905073,-0.150921326062528,-0.0046334049966638,0.0
2022,2022-11-02,statement,400,7,0,7,1.7500000000000002,1.0,7,0.9001956165297348,0.546761599929495,-0.1507544913453108,0.230243161094225,0.0
2022,2022-12-14,statement,400,7,0,7,1.7500000000000002,1.0,7,0.9873526218067528,0.5438248882894308,-0.1496030338713392,0.0,0.0
2023,2023-02-01,statement,358,6,0,6,1.9553072625698324,1.0,6,0.8292825910319649,0.5294253613801879,-0.1612084376519801,0.2053072625698322,0.0
